"sample","UMAP1","UMAP2","source","lineage"
"ICC24",-0.0338655633197464,-3.84870826796263,"cell line","bile duct"
"ICC25",-0.572969408775877,-1.29218334200573,"cell line","bile duct"
"ICC26",-2.70022782421746,-1.90924354895947,"cell line","bile duct"
"ACH-000686",0.638576023850975,-7.15165316463155,"cell line","liver"
"ACH-000739",1.25369975818106,-7.34051904535541,"cell line","liver"
"ACH-000361",0.225715557983399,-0.144940281703267,"cell line","liver"
"ACH-000471",0.711784740615873,-7.13056071934395,"cell line","liver"
"ACH-000625",1.0415357797573,-7.26922913767781,"cell line","liver"
"ACH-000478",0.285356737886664,-0.381131339326035,"cell line","liver"
"ACH-000577",0.335882655410649,-0.502171369472613,"cell line","liver"
"ACH-000620",0.0406490836659089,0.882069615237975,"cell line","liver"
"ACH-000734",1.00504297601054,-7.26026401532434,"cell line","liver"
"ACH-000848",1.13092606812085,-7.27110532698025,"cell line","liver"
"ACH-000493",0.264099278500447,-0.346462999134186,"cell line","liver"
"ACH-000393",0.274672276734828,-0.291440567099421,"cell line","liver"
"ACH-000476",0.308063153700431,-0.520314506291772,"cell line","liver"
"ACH-000217",0.293929177019502,-0.418960792016062,"cell line","liver"
"ACH-000420",0.274832833231656,-0.511395715436848,"cell line","liver"
"ACH-000316",0.320354572081533,-0.507285749526107,"cell line","liver"
"ACH-001318",0.78135259436177,-7.11588037870616,"cell line","liver"
"ACH-000671",-0.789291320410332,1.5649175353294,"cell line","liver"
"ACH-000475",0.81742210632027,-7.38078031002835,"cell line","liver"
"ACH-000480",1.14228133152576,-7.25987541648035,"cell line","liver"
"ACH-000537",0.0158005457333419,-3.79751409834875,"cell line","liver"
"ACH-000422",0.234869254660734,-0.348462371906676,"cell line","liver"
"ACH-000221",0.337754144147542,0.655628552760299,"cell line","liver"
"ACH-000483",-0.27669262189946,0.700111168396837,"cell line","liver"
"ACH-000652",0.646548247482041,1.1861015188905,"cell line","pancreas"
"ACH-000502",-0.544895568323546,-0.525219049493862,"cell line","pancreas"
"ACH-001098",-1.31696653685948,-1.04274182929252,"cell line","pancreas"
"ACH-000468",0.181143458616025,-0.0436827853711411,"cell line","pancreas"
"ACH-001380",0.134462901121287,-4.14919743851782,"cell line","pancreas"
"ACH-001353",-1.03901864343446,-0.973178242662838,"cell line","pancreas"
"ACH-001375",-0.95590439940361,-0.784472229540609,"cell line","pancreas"
"ACH-001378",-1.11351920258231,-1.0545261810731,"cell line","pancreas"
"ACH-001377",1.16862488180836,1.39703059079671,"cell line","pancreas"
"ACH-001382",-0.84739457987667,-0.831051694509357,"cell line","pancreas"
"ACH-000332",-0.967854529514302,-0.864337690103694,"cell line","pancreas"
"ACH-001379",-0.958432917306233,-0.888789435945485,"cell line","pancreas"
"ACH-001376",-1.12388241249364,-1.08522998280599,"cell line","pancreas"
"ACH-000601",0.321482267397795,0.514815273257111,"cell line","pancreas"
"ACH-000517",0.101054983079891,0.170842388845418,"cell line","pancreas"
"ACH-000213",-0.989681139689113,-0.886796811643454,"cell line","pancreas"
"ACH-000307",-0.966959293154026,-0.238428818041682,"cell line","pancreas"
"ACH-000417",-0.801016422107747,-0.777959785585126,"cell line","pancreas"
"ACH-000599",-0.632770831978269,-0.597742071771678,"cell line","pancreas"
"ACH-000023",0.345332316319974,0.596105988382216,"cell line","pancreas"
"ACH-000222",-0.680333603382826,-0.863020870641083,"cell line","pancreas"
"ACH-001999",-1.07422456727343,-1.01245638860678,"cell line","pancreas"
"ACH-000320",0.189221464201511,0.277955711187859,"cell line","pancreas"
"ACH-000139",-0.783791930381416,-0.783581909071217,"cell line","pancreas"
"ACH-000535",-1.05846628621103,-0.164678879071242,"cell line","pancreas"
"ACH-000108",-0.618371870153764,-0.635109676195677,"cell line","pancreas"
"ACH-000178",0.0312703770871867,0.0648882383190266,"cell line","pancreas"
"ACH-000155",0.0606933128158433,0.0370185595195424,"cell line","pancreas"
"ACH-000270",-1.33851199016057,-1.00493872242666,"cell line","pancreas"
"ACH-000281",-0.920230462712888,-0.734190066006841,"cell line","pancreas"
"ACH-000060",-0.646824435680242,-0.594133417570026,"cell line","pancreas"
"ACH-000164",0.27126383516516,0.336762467196227,"cell line","pancreas"
"ACH-000094",-0.806627326045437,-1.01034314999209,"cell line","pancreas"
"ACH-000235",-0.795524435367514,-0.824114855666338,"cell line","pancreas"
"ACH-000933",0.519060004176588,2.17153236522821,"cell line","pancreas"
"ACH-000243",-0.802424294162912,-0.170420672978963,"cell line","pancreas"
"ACH-000138",-1.11380659478976,-1.04622341504026,"cell line","pancreas"
"ACH-000022",2.1690612742668,4.1965895602469,"cell line","pancreas"
"ACH-000347",-1.07258148247569,1.86662836034529,"cell line","pancreas"
"ACH-000118",-0.810144090769214,-0.748932411032908,"cell line","pancreas"
"ACH-000265",0.26700257084889,0.558642651911115,"cell line","pancreas"
"ACH-000266",-1.03903844674514,-0.84421638820205,"cell line","pancreas"
"ACH-000085",-1.11494206824683,0.0210146808338187,"cell line","pancreas"
"ACH-000093",-1.07465999115127,-0.971169305600868,"cell line","pancreas"
"ACH-000685",-1.09861123440181,0.0942334463430446,"cell line","pancreas"
"ACH-000107",-0.859590464694809,-0.849261285389437,"cell line","pancreas"
"ACH-000042",-0.878607428036578,-0.722152387571721,"cell line","pancreas"
"ACH-000354",-1.47668762862243,-1.30572687999627,"cell line","pancreas"
"ACH-000205",-1.30867801494407,-1.03937774519583,"cell line","pancreas"
"ACH-000114",-1.56738756769925,-1.20162318252461,"cell line","pancreas"
"ACH-000031",-1.4394255253212,-1.06605809460236,"cell line","pancreas"
"ACH-000470",2.43123865957495,4.20704511477469,"cell line","colon"
"ACH-000958",0.813551398792207,2.35310208359381,"cell line","colon"
"ACH-000820",2.47740241640224,4.31951600411239,"cell line","colon"
"ACH-000991",2.10074586563135,3.95715455425786,"cell line","colon"
"ACH-001061",1.40572940497065,2.39392884449461,"cell line","colon"
"ACH-001459",2.56950384635584,4.26312299199744,"cell line","colon"
"ACH-001461",2.61100868902796,4.1750409177911,"cell line","colon"
"ACH-001458",2.58034234800534,4.22335288934079,"cell line","colon"
"ACH-000489",2.27611454525898,3.90023351112224,"cell line","colon"
"ACH-000970",0.610284135518259,2.22723540230122,"cell line","colon"
"ACH-001786",2.03729264395258,3.46580370620534,"cell line","colon"
"ACH-001345",2.3596936054238,3.93763056335704,"cell line","colon"
"ACH-001456",2.56351794299566,4.2114079475824,"cell line","colon"
"ACH-000935",0.246020725080668,-0.218772770702958,"cell line","colon"
"ACH-001460",2.60307549902535,4.19610755166855,"cell line","colon"
"ACH-000421",1.02830474077525,1.18434204633696,"cell line","colon"
"ACH-000943",0.799027783833743,1.91015929405348,"cell line","colon"
"ACH-001454",-1.08240164850383,-1.00059922572224,"cell line","colon"
"ACH-001399",1.49167577525591,1.66103286007237,"cell line","colon"
"ACH-000959",2.15850051414507,4.03286991109345,"cell line","colon"
"ACH-000552",2.27613465512091,4.17372279432186,"cell line","colon"
"ACH-000997",0.817236981319623,1.99465657542214,"cell line","colon"
"ACH-000971",0.710235541266236,1.68895624007285,"cell line","colon"
"ACH-000722",2.4157661847626,4.26597015454489,"cell line","colon"
"ACH-000680",2.37380532357006,4.2187684892526,"cell line","colon"
"ACH-000842",1.57029197901521,1.73753873449437,"cell line","colon"
"ACH-000403",-0.645088461884239,-0.721924437628214,"cell line","colon"
"ACH-000926",2.43727251887254,4.2370939308094,"cell line","colon"
"ACH-000708",2.39543796668654,4.24190787697826,"cell line","colon"
"ACH-000400",2.42176295294874,3.73529406216967,"cell line","colon"
"ACH-000007",2.33896374585077,4.19105713841694,"cell line","colon"
"ACH-000989",2.11990197001547,3.86078700197959,"cell line","colon"
"ACH-000957",2.25301442598377,4.06990960703415,"cell line","colon"
"ACH-000798",2.35007960417275,4.11972124872726,"cell line","colon"
"ACH-000009",-0.689877154878711,1.61214157404338,"cell line","colon"
"ACH-000491",0.417120473324127,1.39512199232089,"cell line","colon"
"ACH-000963",2.30036231866635,4.0709125161636,"cell line","colon"
"ACH-000986",2.39754275458022,4.17862990079712,"cell line","colon"
"ACH-000236",1.5887995609375,1.78611623096767,"cell line","colon"
"ACH-000985",2.1352428955085,4.10656150685075,"cell line","colon"
"ACH-000651",1.74692310612173,1.51663705069153,"cell line","colon"
"ACH-000360",2.39363060716836,4.1947527480925,"cell line","colon"
"ACH-000467",2.47730101035128,4.2775625775142,"cell line","colon"
"ACH-000501",-0.54161403246637,-0.651290051068481,"cell line","colon"
"ACH-000532",2.29662688775995,4.14520758163106,"cell line","colon"
"ACH-000003",-0.698622265335261,1.59292406536451,"cell line","colon"
"ACH-000998",2.28816772242711,4.10917207816934,"cell line","colon"
"ACH-000982",2.30211561830498,4.01784149697101,"cell line","colon"
"ACH-000999",2.11342390899774,3.81313181475786,"cell line","colon"
"ACH-000252",2.43630056174454,4.1414458931179,"cell line","colon"
"ACH-000381",2.32520662345087,3.97494371543732,"cell line","colon"
"ACH-000969",1.95426050092709,3.91145731191499,"cell line","colon"
"ACH-000253",1.56495698699441,1.85222742696025,"cell line","colon"
"ACH-000955",2.19523948014004,3.87543721523421,"cell line","colon"
"ACH-000950",2.05726883056274,3.76495901867632,"cell line","colon"
"ACH-000350",1.18970239826427,1.02219504991195,"cell line","colon"
"ACH-000249",1.24284364711173,2.14312913771632,"cell line","colon"
"ACH-000089",2.54380705735841,4.17536386242016,"cell line","colon"
"ACH-000683",-1.14171878895805,0.215470742666252,"cell line","colon"
"ACH-000286",1.43962920542451,1.73965757340218,"cell line","colon"
"ACH-000412",-0.669862759757548,-0.847828211139162,"cell line","colon"
"ACH-000202",0.303732529591991,0.700538555945436,"cell line","colon"
"ACH-000342",1.2579125812184,1.47115473918257,"cell line","colon"
"ACH-000565",1.57631287225219,1.93366468939986,"cell line","colon"
"ACH-000895",2.24163677906763,4.2035369578024,"cell line","colon"
"ACH-000967",0.630393113975542,2.22349474769787,"cell line","colon"
"ACH-000296",-0.776440123542089,1.53694785994013,"cell line","colon"
"ACH-002446",-1.99121340877829,3.63720242179963,"cell line","gastric"
"ACH-001664",0.763562856454669,2.08825900459243,"cell line","gastric"
"ACH-001653",-0.883169672457162,-0.845972744232456,"cell line","gastric"
"ACH-000949",-0.505971083083781,3.4292905262997,"cell line","gastric"
"ACH-000485",2.23334954058177,4.30486363068816,"cell line","gastric"
"ACH-000948",1.92817396993029,3.94369323492032,"cell line","gastric"
"ACH-000793",1.48950195751639,4.03910222883986,"cell line","gastric"
"ACH-000674",2.14322256400603,4.26662835037291,"cell line","gastric"
"ACH-000633",1.22696826598163,-7.31865086089368,"cell line","gastric"
"ACH-000581",2.23482059278156,4.31148552796987,"cell line","gastric"
"ACH-000764",0.199542042106741,0.067584741331407,"cell line","gastric"
"ACH-000255",0.265461331872081,-0.28068560528905,"cell line","gastric"
"ACH-000678",-0.636640846252443,-0.727943448241618,"cell line","gastric"
"ACH-000932",0.420751446035995,0.678264464012111,"cell line","gastric"
"ACH-000880",-2.72001382068901,3.88470740549657,"cell line","gastric"
"ACH-000239",2.11976090037099,4.29767538963381,"cell line","gastric"
"ACH-000847",0.302681168200161,0.739831879252973,"cell line","gastric"
"ACH-000919",2.19460311667227,4.37102406827415,"cell line","gastric"
"ACH-000344",0.241476750752625,0.354425082516102,"cell line","gastric"
"ACH-000047",-1.55240235552199,1.84830684576317,"cell line","gastric"
"ACH-000167",-3.54601265818761,-0.108197587082735,"cell line","gastric"
"ACH-000746",0.450775552604126,1.5589488797214,"cell line","gastric"
"ACH-000911",0.613317300268996,1.03846202165835,"cell line","gastric"
"ACH-000356",1.87485604952797,3.78109737088536,"cell line","gastric"
"ACH-000507",2.06153374219043,4.18798951239468,"cell line","gastric"
"ACH-000247",2.31521628917613,4.12964965765018,"cell line","gastric"
"ACH-000303",0.809566799366496,1.36567942168639,"cell line","gastric"
"ACH-000736",1.67913410920955,4.22201033400775,"cell line","gastric"
"ACH-000908",2.29049879765266,4.22575784689515,"cell line","gastric"
"ACH-000325",2.0526587389431,4.27181646085141,"cell line","gastric"
"ACH-000758",-0.114773732657923,0.0516715435839491,"cell line","gastric"
"ACH-000538",0.250210655786807,0.626619465641664,"cell line","gastric"
"ACH-000616",0.273203788292567,-0.313704241334433,"cell line","gastric"
"ACH-000898",2.0283311619136,4.27448308035547,"cell line","gastric"
"ACH-000761",-1.05684884990136,0.0492650425790384,"cell line","gastric"
"ACH-000466",-0.891044182829031,-0.739434161657237,"cell line","gastric"
"ACH-000427",1.04158863030768,2.34395778655407,"cell line","gastric"
"ACH-000560",-0.444363268471334,1.31843213869556,"cell line","gastric"
"ACH-000225",-1.36645483406666,1.93120417654807,"cell line","gastric"
"ACH-000351",-0.174976187166514,0.689155209227954,"cell line","gastric"
"ACH-000144",-1.34859846087289,1.46715088993525,"cell line","gastric"
"ACH-000110",-1.18475995683448,0.239288992746853,"cell line","gastric"
"ACH-000318",-1.10046742781926,0.127313209062836,"cell line","esophagus"
"ACH-001497",0.966455650292387,2.88435972795845,"cell line","esophagus"
"ACH-000726",-1.11447143067337,0.175269250961546,"cell line","esophagus"
"ACH-000917",0.559015070016779,1.51328731966031,"cell line","esophagus"
"ACH-001368",0.386138122896294,0.649244095875118,"cell line","esophagus"
"ACH-000452",-0.540241216007322,0.627722218007929,"cell line","esophagus"
"ACH-001654",0.239163808039297,1.21928549721391,"cell line","esophagus"
"ACH-001500",0.258375425224411,0.521418843655477,"cell line","esophagus"
"ACH-000809",-1.01677459127776,0.110120849846828,"cell line","esophagus"
"ACH-000855",-0.970591847616738,0.00238815900478984,"cell line","esophagus"
"ACH-001496",2.37944052360556,4.06739977245142,"cell line","esophagus"
"ACH-000605",-1.13573536216622,0.184769290787677,"cell line","esophagus"
"ACH-000488",-1.1389926721582,0.115977566545719,"cell line","esophagus"
"ACH-000383",-0.669066749519451,-0.713481346926773,"cell line","esophagus"
"ACH-000544",-1.16573800757795,0.190962049348118,"cell line","esophagus"
"ACH-000824",-1.14967648700777,0.106933439615949,"cell line","esophagus"
"ACH-000865",-1.10934533925179,0.176498754946821,"cell line","esophagus"
"ACH-000216",-0.744304337460658,-0.784974229750686,"cell line","esophagus"
"ACH-000693",-1.1680868370588,0.196986672522673,"cell line","esophagus"
"ACH-000784",-1.15917388452917,0.218816696022984,"cell line","esophagus"
"ACH-000679",2.19421587065777,4.2671711759644,"cell line","esophagus"
"ACH-000353",-1.14314599513391,0.0892625094658935,"cell line","esophagus"
"ACH-000777",-0.984642102816005,-0.425007057198699,"cell line","esophagus"
"ACH-000823",-1.13057992448278,0.197180035791984,"cell line","esophagus"
"ACH-000873",-0.6425070569826,0.575391892742298,"cell line","esophagus"
"ACH-000647",-0.319974585399757,0.686252648678813,"cell line","esophagus"
"ACH-000637",-0.949828017638708,0.2943661072832,"cell line","esophagus"
"ACH-000408",-1.10966740651353,0.012122092161277,"cell line","esophagus"
"ACH-000717",-1.24709458531339,-0.353758625882831,"cell line","esophagus"
"ACH-000694",-1.1635201697297,0.113741884287518,"cell line","esophagus"
"ACH-000305",-1.22694853407739,-0.0198992485691425,"cell line","esophagus"
"ACH-000561",-1.17598594391095,0.175528172163844,"cell line","esophagus"
"TCGA-3X-AAV9-01",-2.5717728697299,-1.40264249267266,"patient tumor","bile duct"
"TCGA-3X-AAVA-01",0.143295582250832,-4.53443355837548,"patient tumor","bile duct"
"TCGA-3X-AAVB-01",-2.3295196264465,-1.63997968249552,"patient tumor","bile duct"
"TCGA-3X-AAVC-01",-1.02744201567223,2.71553497717723,"patient tumor","bile duct"
"TCGA-3X-AAVE-01",0.12375343466004,-4.52762931427776,"patient tumor","bile duct"
"TCGA-4G-AAZO-01",0.172326686199584,-4.56538701077453,"patient tumor","bile duct"
"TCGA-4G-AAZT-01",0.219172816116173,-4.67372438880288,"patient tumor","bile duct"
"TCGA-W5-AA2G-01",0.242912207698155,-5.05723906137855,"patient tumor","bile duct"
"TCGA-W5-AA2H-01",-3.56566433328722,-0.180119209787555,"patient tumor","bile duct"
"TCGA-W5-AA2I-11",-0.816222876358671,-9.59319330561809,"patient tumor","bile duct"
"TCGA-W5-AA2I-01",0.249100506912265,-4.79457772949477,"patient tumor","bile duct"
"TCGA-W5-AA2O-01",0.245721322897379,-4.99751253824723,"patient tumor","bile duct"
"TCGA-W5-AA2Q-11",-0.609219861532554,-9.24525332244364,"patient tumor","bile duct"
"TCGA-W5-AA2Q-01",0.231076266332531,-4.60735006313304,"patient tumor","bile duct"
"TCGA-W5-AA2R-11",-1.2022735898049,-9.78101298136972,"patient tumor","bile duct"
"TCGA-W5-AA2R-01",0.220698424357655,-4.64215522815547,"patient tumor","bile duct"
"TCGA-W5-AA2T-01",0.218836208943355,-4.61166194291429,"patient tumor","bile duct"
"TCGA-W5-AA2U-11",-0.919603242496506,-9.51711180987157,"patient tumor","bile duct"
"TCGA-W5-AA2U-01",0.154503335647687,-4.537955174558,"patient tumor","bile duct"
"TCGA-W5-AA2W-01",0.169634892547271,-4.56047504370038,"patient tumor","bile duct"
"TCGA-W5-AA2X-11",-0.506921849017094,-9.25303678966139,"patient tumor","bile duct"
"TCGA-W5-AA2X-01",1.67660099826121,1.37363345237908,"patient tumor","bile duct"
"TCGA-W5-AA2Z-01",0.166750526011418,-4.55390693516375,"patient tumor","bile duct"
"TCGA-W5-AA30-11",-0.632046391561924,-9.20554203474137,"patient tumor","bile duct"
"TCGA-W5-AA30-01",0.195921547706014,-4.58280675200836,"patient tumor","bile duct"
"TCGA-W5-AA31-11",-0.906392110517053,-9.65166089667773,"patient tumor","bile duct"
"TCGA-W5-AA31-01",0.230425457308394,-5.0398981151189,"patient tumor","bile duct"
"TCGA-W5-AA33-01",0.225438437188561,-5.01194884476048,"patient tumor","bile duct"
"TCGA-W5-AA34-11",-0.749549202344756,-9.5635997991802,"patient tumor","bile duct"
"TCGA-W5-AA34-01",0.160561563134688,-4.56898944163392,"patient tumor","bile duct"
"TCGA-W5-AA36-01",0.195653716754503,-4.60823327208751,"patient tumor","bile duct"
"TCGA-W5-AA38-01",0.245657454836635,-4.68225003943377,"patient tumor","bile duct"
"TCGA-W5-AA39-01",0.754116264716359,-8.1763946922007,"patient tumor","bile duct"
"TCGA-W6-AA0S-01",0.0568075617090157,-4.37342035401083,"patient tumor","bile duct"
"TCGA-WD-A7RX-01",0.23518622245396,-5.08345302883275,"patient tumor","bile duct"
"TCGA-YR-A95A-01",0.23675859050191,-5.01053736482821,"patient tumor","bile duct"
"TCGA-ZD-A8I3-01",0.235647751270153,-4.59070882934443,"patient tumor","bile duct"
"TCGA-ZH-A8Y1-01",0.22457526163335,-4.57649497889464,"patient tumor","bile duct"
"TCGA-ZH-A8Y2-01",0.16641240512155,-4.57059896452764,"patient tumor","bile duct"
"TCGA-ZH-A8Y4-01",0.174990965671477,-4.63061118205758,"patient tumor","bile duct"
"TCGA-ZH-A8Y5-01",0.168799796194382,-4.56307503225344,"patient tumor","bile duct"
"TCGA-ZH-A8Y6-01",0.20044081093688,-4.57831447243048,"patient tumor","bile duct"
"TCGA-ZH-A8Y8-01",0.14118045941168,-4.92858607381903,"patient tumor","bile duct"
"TCGA-ZU-A8S4-11",-0.993201747235011,-9.66192409857037,"patient tumor","bile duct"
"TCGA-ZU-A8S4-01",0.0909309575058917,-0.40262363466134,"patient tumor","bile duct"
"TCGA-2V-A95S-01",1.02240265376299,-8.25931094888444,"patient tumor","liver"
"TCGA-2Y-A9GS-01",0.675647222074397,-8.84479513447874,"patient tumor","liver"
"TCGA-2Y-A9GT-01",-0.0950171867005174,-9.39073592419971,"patient tumor","liver"
"TCGA-2Y-A9GU-01",0.383118588702523,-8.46328012109187,"patient tumor","liver"
"TCGA-2Y-A9GV-01",-0.123401339651289,-9.43019164586032,"patient tumor","liver"
"TCGA-2Y-A9GW-01",0.982315525976838,-8.56293237299568,"patient tumor","liver"
"TCGA-2Y-A9GX-01",0.412264506150825,-8.47641370056023,"patient tumor","liver"
"TCGA-2Y-A9GY-01",1.57403273129818,-7.86948127276125,"patient tumor","liver"
"TCGA-2Y-A9GZ-01",0.414450323820155,-9.48077991594377,"patient tumor","liver"
"TCGA-2Y-A9H0-01",0.531229573741443,-8.97953170750349,"patient tumor","liver"
"TCGA-2Y-A9H1-01",1.43461849087781,-8.88044677304458,"patient tumor","liver"
"TCGA-2Y-A9H2-01",0.213520853624236,-4.89080457312335,"patient tumor","liver"
"TCGA-2Y-A9H3-01",1.1107215199565,-8.2528721052231,"patient tumor","liver"
"TCGA-2Y-A9H4-01",0.773884895171341,-9.32532464300098,"patient tumor","liver"
"TCGA-2Y-A9H5-01",0.908271220709854,-7.9138816069582,"patient tumor","liver"
"TCGA-2Y-A9H6-01",0.468423013037632,-8.46022777172183,"patient tumor","liver"
"TCGA-2Y-A9H7-01",1.52592370617868,-7.88112176619962,"patient tumor","liver"
"TCGA-2Y-A9H8-01",0.847875081089365,-8.25971276511215,"patient tumor","liver"
"TCGA-2Y-A9H9-01",0.579410839839751,-9.37741602771067,"patient tumor","liver"
"TCGA-2Y-A9HA-01",1.84812902964153,-9.2785052069584,"patient tumor","liver"
"TCGA-2Y-A9HB-01",0.833958547006737,-9.1340061014287,"patient tumor","liver"
"TCGA-3K-AAZ8-01",1.30914983211809,-9.12492812803397,"patient tumor","liver"
"TCGA-4R-AA8I-01",0.466811286577221,-9.31372755424852,"patient tumor","liver"
"TCGA-5C-A9VG-01",1.33157045385424,-7.70027820219797,"patient tumor","liver"
"TCGA-5C-A9VH-01",0.913255041780176,-8.04397618773479,"patient tumor","liver"
"TCGA-5C-AAPD-01",1.07743428207083,-8.39402878848478,"patient tumor","liver"
"TCGA-5R-AA1C-01",2.29417846662097,-9.59338436238061,"patient tumor","liver"
"TCGA-5R-AA1D-01",0.201190260182253,-8.20786691231421,"patient tumor","liver"
"TCGA-5R-AAAM-01",-0.0180494077377016,-9.2393789432972,"patient tumor","liver"
"TCGA-BC-4072-01",0.45197998748723,-7.77827851979508,"patient tumor","liver"
"TCGA-BC-4073-01",0.449492905790089,-7.86028682103983,"patient tumor","liver"
"TCGA-BC-A10Q-11",-1.20587449691563,-9.78980737972777,"patient tumor","liver"
"TCGA-BC-A10Q-01",0.147343640471681,-4.52652081656109,"patient tumor","liver"
"TCGA-BC-A10R-11",-1.24903555256939,-9.82139442688751,"patient tumor","liver"
"TCGA-BC-A10R-01",0.417100247789862,-8.39231614890597,"patient tumor","liver"
"TCGA-BC-A10S-01",1.17862499497802,-9.09129433158751,"patient tumor","liver"
"TCGA-BC-A10T-11",-1.14749726616163,-9.67318314052276,"patient tumor","liver"
"TCGA-BC-A10T-01",0.234396924373249,-9.30250341400444,"patient tumor","liver"
"TCGA-BC-A10U-11",-1.25077502849244,-9.77891580501049,"patient tumor","liver"
"TCGA-BC-A10U-01",1.43027371992395,-9.30161191830854,"patient tumor","liver"
"TCGA-BC-A10W-11",-0.929912043093552,-9.45086978361332,"patient tumor","liver"
"TCGA-BC-A10W-01",0.592446348123599,-8.48317318155046,"patient tumor","liver"
"TCGA-BC-A10X-11",-1.00209600837179,-9.64060610281758,"patient tumor","liver"
"TCGA-BC-A10X-01",-0.663917808300344,-9.30554274316031,"patient tumor","liver"
"TCGA-BC-A10Y-11",-0.883972733961152,-9.45173290020202,"patient tumor","liver"
"TCGA-BC-A10Y-01",0.39556852435735,-9.38467445543612,"patient tumor","liver"
"TCGA-BC-A10Z-11",-0.971654809905569,-9.45797912222091,"patient tumor","liver"
"TCGA-BC-A10Z-01",0.481407834630371,-9.39604731310937,"patient tumor","liver"
"TCGA-BC-A110-11",-1.26830750566339,-9.82701589762892,"patient tumor","liver"
"TCGA-BC-A110-01",-0.593703997871921,-9.11965759544802,"patient tumor","liver"
"TCGA-BC-A112-01",0.535932723189379,-7.23522368893523,"patient tumor","liver"
"TCGA-BC-A216-11",-1.03532122533927,-9.65161260141011,"patient tumor","liver"
"TCGA-BC-A216-01",0.486797105693021,-8.6982816621006,"patient tumor","liver"
"TCGA-BC-A217-01",0.384529507496357,-9.36261637442354,"patient tumor","liver"
"TCGA-BC-A3KF-01",0.558027218496832,-9.22123535063345,"patient tumor","liver"
"TCGA-BC-A3KG-01",0.337053862749177,-9.10442459650132,"patient tumor","liver"
"TCGA-BC-A5W4-01",0.777329423167712,-9.41402986231857,"patient tumor","liver"
"TCGA-BC-A69H-01",1.61801841377835,-8.24698513913678,"patient tumor","liver"
"TCGA-BC-A69I-01",2.10530607765627,-9.68257816717648,"patient tumor","liver"
