,feature,corr,p-value,q-value,EGFRi
BRD:BRD-K49294207-300-03-8,BIBU-1361,0.1676010856393879,8.066955981747327e-05,0.0071722310512992,1.0
BRD:BRD-K59227464-334-02-4,LY2228820,0.1670010815600487,7.372665596319455e-05,0.0067242750055198,
BRD:BRD-K60421517-001-01-4,OLMUTINIB,0.1661964038830581,0.0001091575302625,0.008972479462813,1.0
BRD:BRD-A69815203-001-07-6,CYCLOSPORIN-A,0.1655983077701306,0.0001722877643656,0.0134951992370186,
BRD:BRD-K50168500-001-07-9,CANERTINIB,0.1644379925488683,0.0001024815180721,0.0085290243415537,1.0
BRD:BRD-K49328571-001-15-0,DASATINIB,0.1627194938046741,0.0001302444599232,0.010447802580348,
BRD:BRD-K00004648-001-01-9,PF-06747775,0.1594702496890801,3.3593074487240447e-06,0.0007196471375007,
BRD:BRD-K10115470-001-01-8,PKI-166,0.1587843313995927,0.0005425199916704,0.0304716963425289,
BRD:BRD-K50495309-001-02-0,SRC-KINASE-INHIBITOR-I,0.1583912105500556,0.0001791663998085,0.0138708126735519,
BRD:BRD-K00010387-001-01-9,BAFILOMYCIN-A1,0.1557965712127683,5.648814719246399e-06,0.0010164813081281,
BRD:BRD-K26838195-075-04-9,AST-1306,0.155684970066741,0.0002226011038859,0.0156436913345153,1.0
BRD:BRD-K49522529-001-03-7,ALFACALCIDOL,0.1545098928686396,0.0002651652746969,0.0180150040707369,
BRD:BRD-K70401845-003-09-6,ERLOTINIB,0.1498015349875316,0.0003936009865603,0.0251752564332535,1.0
BRD:BRD-K08251020-001-01-0,FALECALCITRIOL,0.149743607298368,0.0004690117168888,0.028132252351765,
BRD:BRD-K54330070-001-15-4,SB-202190,0.1487370738556496,0.0004657071396175,0.028132252351765,
BRD:BRD-K31283835-048-04-4,TOFACITINIB,0.1487194076266036,0.0004835229387014,0.0285448919940186,
BRD:BRD-K21025364-001-05-6,NVP-TAE226,0.1470259762092251,0.0007271312194195,0.0375289896038421,
BRD:BRD-K09619578-001-01-3,DS2-(806622),0.1451940823467536,0.0006012902714647,0.0328595906493279,
BRD:BRD-K34801930-001-01-9,AZD5069,0.1450857954653569,0.0006070486106739,0.0328595906493279,
BRD:BRD-K34801930-001-01-9.1,BRD:BRD-K34801930-001-01-9.1,0.1450857954653569,0.0006070486106739,0.0328595906493279,
BRD:BRD-K80343549-001-02-6,TAK-285,0.1436798347178593,0.0008595839982032,0.0430309042108076,
BRD:BRD-K27316855-001-19-0,CALCITRIOL,0.1409609100828514,0.0008685446778,0.0431550034686005,
BRD:BRD-K41707108-001-05-6,CERAMIDE,0.1406323900216551,0.0009633343722909,0.0459148914681487,
BRD:BRD-K83794243-001-01-8,PALOVAROTENE,0.140344990304065,0.001135047284932,0.0517612659114922,
BRD:BRD-K13533483-001-16-2,CYCLOSPORIN-A,0.1386920480840011,0.0012728033292862,0.0557521353051834,
BRD:BRD-K13533483-001-16-2.1,BRD:BRD-K13533483-001-16-2.1,0.1386920480840011,0.0012728033292862,0.0557521353051834,
BRD:BRD-K71223042-001-03-9,PCI-29732,0.1383294836853532,5.8757316032037406e-05,0.0055099466217085,
BRD:BRD-K81728688-001-04-4,WZ8040,0.1378875520298905,0.0011873951239993,0.0530582331247497,1.0
BRD:BRD-K84163249-001-01-9,ERCALCITRIOL,0.1367413842149507,0.0015382696382803,0.064480991470108,
BRD:BRD-K08799216-001-05-3,PELITINIB,0.1366011882252719,0.0015398734820887,0.064480991470108,1.0
BRD:BRD-K28383148-001-01-4,AP1903,0.134806719610654,0.0014710481871669,0.0623836868162884,
BRD:BRD-A92262698-001-02-5,CHLORPHENESIN,0.1335852505521149,0.0019014521354102,0.074469813632714,
BRD:BRD-K26011976-001-01-0,LICOCHALCONE-A,0.1330846681169259,0.0024277470666546,0.08881285697685,
BRD:BRD-K44844162-001-01-6,TASELISIB,0.1329809302959722,0.0018099732853721,0.0720326360233402,
BRD:BRD-K99170882-001-04-3,NSC-319726,0.1319827406194496,0.0018512261482257,0.0729317378395699,
BRD:BRD-K79684402-300-02-8,RO-10-5824,0.1309318696801792,0.0041775662730126,0.1312434383580484,
BRD:BRD-K33127281-001-05-6,ADAPALENE,0.1306596135539426,0.0021374325072215,0.0827385211225652,
BRD:BRD-A04327189-003-03-3,SYNEPHRINE,0.129639876922568,0.0026623415452085,0.0947907487058759,
BRD:BRD-K73237276-001-01-0,TACALCITOL,0.1293658282815536,0.002240206329674,0.0837937850728644,
BRD:BRD-K37237504-001-02-7,CEP-33779,0.1277939073272978,0.0024913461974236,0.0903665249513857,
BRD:BRD-K00003413-001-01-9,ZANUBRUTINIB,0.1276614878416431,0.0002168175126284,0.0155222688073142,
BRD:BRD-K26501486-001-02-9,SR-1078,0.1271815402178152,0.0002232127781284,0.0156436913345153,
BRD:BRD-K22514639-001-05-7,EGF816,0.1265160080162991,0.0032873017031721,0.1088898245757213,1.0
BRD:BRD-K96295391-300-01-7,PF-670462,0.1248276185245885,0.006677899262507,0.1726477763303982,
BRD:BRD-K01080633-001-01-9,DAA-1106,0.124199698607915,0.007020701778829,0.1785190463381815,
BRD:BRD-K45973863-001-01-4,WR99210,0.1238658583508628,0.0071761362624811,0.1785190463381815,
BRD:BRD-K78364995-236-18-3,CEFOTAXIME,0.1233992892979314,0.0003514106838723,0.0231652706259604,
BRD:BRD-K68202742-001-16-5,TRICHOSTATIN-A,0.1231153538500301,0.0047286895157361,0.1368852817207446,
BRD:BRD-A52660433-066-02-1,TETRINDOLE,0.121803030613868,0.0047839308969357,0.1378849000510738,
BRD:BRD-K01567962-001-23-0,PYRAZOLANTHRONE,0.1211872701048489,0.0042833770031377,0.1312434383580484,
BRD:BRD-K97399794-001-15-3,QUERCETIN,0.1203945328995877,0.0044716418056738,0.1323208495207833,
BRD:BRD-K72827473-001-01-0,CEP-37440,0.1189452158613842,0.0049795965026352,0.1410815043172147,
BRD:BRD-K81332461-001-01-4,MAXACALCITOL,0.1176494946839328,0.0064429590856567,0.1686518543472256,
BRD:BRD-K89015388-001-01-7,GSK923295,0.1171715570741504,0.0058036374388932,0.1574494937041849,
BRD:BRD-K42500029-001-03-5,CGP-57380,0.1167028534334445,0.0059133232478649,0.1574836247371386,
BRD:BRD-K09090523-001-02-1,FIROCOXIB,0.1163792352729499,0.0060995920851256,0.1608435634020399,
BRD:BRD-K96809896-300-02-3,SKF-86002,0.1149566993592015,0.0069591640515865,0.1785190463381815,
BRD:BRD-K06542892-001-01-9,ASP3026,0.1147605490375811,0.0072682560807843,0.1792313146600488,
BRD:BRD-K00003446-001-01-9,LY3200882,0.1143603440448969,0.0009312458091003,0.045607636206599,
BRD:BRD-K81957469-001-01-0,SEMAGACESTAT,0.1139396635566607,0.0071586086872383,0.1785190463381815,
BRD:BRD-K00003463-001-01-9,PYROTINIB,0.1138816293562026,0.0009448605029499,0.045607636206599,
BRD:BRD-K20013301-001-02-6,LY411575,0.1134953296010938,0.0075502141287652,0.1827975478884339,
BRD:BRD-K91301684-003-05-5,NOSCAPINE,0.1133592255544059,0.0073531079491112,0.180653109687021,
BRD:BRD-K61691541-001-01-1,PF-03084014,0.1132915065235793,0.0076595531322784,0.1841057933383039,
BRD:BRD-K41337261-001-03-0,ZM-306416,0.1132251233004782,0.007423523022098,0.1817125598570919,1.0
BRD:BRD-K29713308-077-04-1.1,BRD:BRD-K29713308-077-04-1.1,0.1122102196270573,0.0084410670870526,0.1971951742652514,
BRD:BRD-K29713308-077-04-1,MEBHYDROLIN,0.1122102196270573,0.0084410670870526,0.1971951742652514,
BRD:BRD-K48068743-001-01-6,TENELIGLIPTIN,0.1107010640939803,0.0099029119732196,0.2212536507305257,
BRD:BRD-K44471774-001-01-8,BAY-W-9798,0.1104279781463377,0.0103699194176409,0.2217990425719449,
BRD:BRD-K05445342-001-05-3,WP1066,0.1094445972002926,0.0120986050982717,0.2383210436221687,
BRD:BRD-K79259477-001-04-9,NVP-BHG712,0.1093286565180866,0.0098838278715946,0.2212536507305257,
BRD:BRD-A37704979-001-10-7,SB-203580,0.1090258079685064,0.010296889448833,0.2217990425719449,
BRD:BRD-K70446295-001-01-7,EPZ015666,0.108581724534624,0.0184128239224317,0.3033728454236248,
BRD:BRD-K90027355-001-13-3,SPIRONOLACTONE,0.108263352043558,0.0130643108214691,0.2458843060562664,
BRD:BRD-K72280606-001-01-2,GILTERITINIB,0.1081465143969257,0.0120741221373989,0.2383210436221687,
BRD:BRD-K06854232-001-19-9,AM-580,0.1081035982513517,0.011636325634179,0.2340624050524593,
BRD:BRD-K47000838-001-01-6,CYTOCHALASIN-B,0.1080929131749862,0.0123604849618931,0.2412298982040913,
BRD:BRD-A20348246-001-15-8,CHLORMEZANONE,0.1080870201048829,0.0108314768563729,0.2260688805947678,
BRD:BRD-K64888243-001-03-7,AZ960,0.1071452794178339,0.0114700082777654,0.2326412280188264,
BRD:BRD-K50018155-003-02-1,RS-67506,0.1069196228895093,0.0117218619522324,0.234467291675695,
BRD:BRD-K38458514-001-01-8,DIAZOOXONORLEUCINE,0.1067336278754545,0.0135097577576904,0.2485381605336212,
BRD:BRD-K00004721-001-01-9,BMS-935177,0.1057402142780289,0.0022169810229468,0.0837937850728644,
BRD:BRD-A81370665-001-03-6,BI-D1870,0.1056827383395327,0.0124952440644272,0.2421737637298475,
BRD:BRD-K64114733-066-03-9,NAQUOTINIB,0.1053229112456477,0.0022393209693816,0.0837937850728644,
BRD:BRD-A21607826-003-05-1,MEDETOMIDINE,0.1053021303971873,0.0134808137033764,0.2485381605336212,
BRD:BRD-K28352084-001-02-3,CH5132799,0.1051990032558243,0.0132352658932985,0.24752921437523,
BRD:BRD-K75114721-304-02-6,AMI-1,0.1051218690469673,0.002311410987217,0.0854965241827299,
BRD:BRD-K66175015-001-09-0,AFATINIB,0.1048136739074783,0.0146365260752955,0.2600628271892143,1.0
BRD:BRD-K63750851-001-20-7,MYCOPHENOLIC-ACID,0.1047437334860644,0.0134712120202296,0.2485381605336212,
BRD:BRD-K26548821-003-10-5,QUINPIROL-(-),0.1043029720994803,0.0141304443790447,0.2550999730352831,
BRD:BRD-K20605374-001-05-4,NSC-697923,0.1038145918176773,0.0141495602303476,0.2550999730352831,
BRD:BRD-K56542719-065-01-4,CEFPIROME,0.1036561243822442,0.0145635254633782,0.2600628271892143,
BRD:BRD-K77638923-001-02-0,CUDC-907,0.1035067043624243,0.0166224919999433,0.2839475338023521,
BRD:BRD-K87048468-003-02-7,RS-102221,0.1032922317454818,0.0154703286096098,0.2717716302975789,
BRD:BRD-K56429665-001-09-6,CALCIPOTRIOL,0.1030930044951873,0.0167550531108813,0.2839475338023521,
BRD:BRD-K09877029-001-01-2,VS-4718,0.1023735493844607,0.0158363606991652,0.2760169883116293,
BRD:BRD-K26026438-001-01-0,TUCATINIB,0.1022295673251039,0.0178033264648896,0.2955973755691649,
BRD:BRD-K90991629-100-02-9,DELAFLOXACIN,0.1021907101658858,0.0031139545327749,0.1057791289755897,
BRD:BRD-A29844814-300-01-5,ABT-202,0.1020492484996045,0.0166623380538772,0.2839475338023521,
BRD:BRD-K56932272-001-02-9,BMS-566419,0.1017538099652777,0.003189558709997,0.1077973700058917,
BRD:BRD-K11595419-001-01-4,DIPEPTAMIN,0.1015697986232158,0.0169811036065154,0.2862283235751383,
BRD:BRD-K00003245-001-01-9,BELIZATINIB,0.1014766360036603,0.0032185686106918,0.1082284333837706,
BRD:BRD-K67789209-001-01-0,ADATANSERIN,0.1012115803363783,0.0169728229761248,0.2862283235751383,
BRD:BRD-K09372874-001-01-0,MERIMEPODIB,0.1011108250018537,0.0193236574387201,0.3101436347935375,
BRD:BRD-A39935389-001-05-9,TEROXIRONE,0.1008782367261468,0.0173411829862553,0.290825179653622,
BRD:BRD-A15202882-003-02-7,MILNACIPRAN,0.1006516283186164,0.0198829414383854,0.313698161366755,
BRD:BRD-K00004720-001-01-9,ACOLBIFENE,0.1005985317367458,0.0036147247982498,0.1173992083255971,
BRD:BRD-K03871161-001-01-9,5-HYDROXYECTOINE,0.1004861305296615,0.0292181481874552,0.3829386750664828,
BRD:BRD-A06426627-001-03-5,DICLAZURIL,0.1001809222363338,0.0187723917820166,0.3063592683400332,
BRD:BRD-K83904070-001-02-9,R-268712,0.0997500055979242,0.0038043454704366,0.1225683556881845,
BRD:BRD-A55484088-050-02-5,BNTX,0.0992286811297257,0.0193781544118521,0.3101436347935375,
BRD:BRD-K00003372-003-01-9,CGP-25454A,0.0990082901085688,0.0041868089687378,0.1312434383580484,
BRD:BRD-K88165431-003-01-4,INTEGRIN-ANTAGONIST-1,0.0990038229504746,0.0316974982117972,0.3921079244496863,
BRD:BRD-K13314656-001-01-0,EBASTINE,0.0989538369145453,0.021459684364239,0.3281830652647933,
BRD:BRD-K77597856-003-02-5,DETOMIDINE,0.0975612712757157,0.0221217895925721,0.333983843780829,
BRD:BRD-K11196887-001-21-2,NORFLOXACIN,0.0973636316254414,0.0243151378368172,0.353570176012385,
BRD:BRD-K40905133-001-04-9,PHENACEMIDE,0.0970984416659742,0.0247072349142188,0.3538294922256764,
BRD:BRD-A64743628-001-01-5,ISOMETHEPTENE-MUCATE,0.0970397838697102,0.0218740110805865,0.3325474650510043,
BRD:BRD-K77791657-003-01-7,3-DEAZANEPLANOCIN-A,0.0968712066532065,0.0264507008887348,0.3646144234310485,
BRD:BRD-K87468701-001-01-0,EPZ011989,0.0968352718158993,0.0356474515148235,0.4200720923640622,
BRD:BRD-K93880783-001-26-6,STAVUDINE,0.0966270606509008,0.0226885361188061,0.3394612887168792,
BRD:BRD-K06762493-001-08-1,ISBUFYLLINE,0.096516020135151,0.0232177959209924,0.3450537617008203,
BRD:BRD-K06234293-001-04-2,LY364947,0.096464355039179,0.0239278981509763,0.3516819997554097,
BRD:BRD-A85876464-001-01-5,NIBENTAN,0.0961716157506629,0.023090004194755,0.3439222548740027,
BRD:BRD-K29656036-001-02-5,MK-8245,0.0960461690431435,0.0236461870879475,0.349858474736788,
BRD:BRD-K87021635-003-02-2,CZC-54252,0.095995193968605,0.0374896786347598,0.4322992431110841,
BRD:BRD-K58497451-237-10-7,POTASSIUM-P-AMINOBENZOATE,0.0959649915212402,0.0240197943575845,0.3519825512355544,
BRD:BRD-K63874012-001-02-9,THIOPERAMIDE,0.0956975506450496,0.0237783913971524,0.3506843850105821,
BRD:BRD-A00147595-001-01-5,BALAGLITAZONE,0.0956198071898545,0.0245343077977954,0.353570176012385,
BRD:BRD-K30213273-001-01-6,FENOFIBRIC-ACID,0.0953808692795019,0.0247649990934068,0.3538294922256764,
BRD:BRD-A66788520-001-01-7,2-(3-MERCAPTOPROPYL)PENTANEDIOIC ACID,0.0951594230603362,0.0389798312082615,0.4361922229258284,
BRD:BRD-A66788520-001-01-7.1,BRD:BRD-A66788520-001-01-7.1,0.0951594230603362,0.0389798312082615,0.4361922229258284,
BRD:BRD-K16444452-001-09-1,IBUDILAST,0.0951163430205061,0.0249065001438563,0.3538294922256764,
BRD:BRD-K17850764-236-11-9,CLOPROSTENOL-(+/-),0.0949579949674738,0.0259519590247018,0.3622392938919597,
BRD:BRD-A28329383-001-02-1,MTPG,0.0947442409822573,0.02629044959469,0.3646144234310485,
BRD:BRD-K73293050-001-03-1,WZ-3146,0.0947068793180249,0.0263500027168064,0.3646144234310485,1.0
BRD:BRD-K90305467-001-01-3,ID-1101,0.0945967254446684,0.0401563202358395,0.4397381252141769,
BRD:BRD-A83937277-001-10-5,MEPHENYTOIN,0.0942506828504253,0.029273786361503,0.3829386750664828,
BRD:BRD-K19601669-001-03-5,RUXOLITINIB-(S),0.0939195266258633,0.0265207668491839,0.3648249290947666,
BRD:BRD-K92760278-001-07-3,RIBOFLAVIN,0.0938549427764384,0.0315465942559331,0.3921079244496863,
BRD:BRD-K22861715-001-17-4,CHRYSIN,0.0938093522800907,0.0301975467709332,0.3873897233157483,
BRD:BRD-K82795137-001-26-2,LORATADINE,0.0936639106349145,0.0302997951886529,0.3879539160885603,
BRD:BRD-K80353138-001-12-1,SILIBININ,0.0935482418610991,0.0276850305397236,0.3764132608312842,
BRD:BRD-A88080608-001-04-2,EQUILIN,0.0935258059934512,0.0278641327525135,0.3766353958774418,
BRD:BRD-K15916496-001-27-9,CLOTRIMAZOLE,0.0934595313604394,0.0275518780459427,0.3759024672743578,
BRD:BRD-K62196610-001-01-6,AVN-944,0.0928581059213557,0.0297436993092306,0.3860303118925106,
BRD:BRD-K94239562-001-05-5,PAEONOL,0.0927636938591908,0.029611835003145,0.3850695262713671,
BRD:BRD-K60585088-001-01-5,PARICALCITOL,0.0927316415187943,0.0287884234509577,0.3825729395993853,
BRD:BRD-K59284035-001-07-9,CHRYSOPHANIC-ACID,0.0925620772519904,0.0301196966553468,0.3873897233157483,
BRD:BRD-K00003331-001-01-9,NIM811,0.0924637786442436,0.0075043224493105,0.1823495579106196,
BRD:BRD-K56195681-001-01-0,LOSMAPIMOD,0.0924425749175971,0.0290018762043323,0.3829386750664828,
BRD:BRD-K20742498-003-02-9,RS-39604,0.0922984912597044,0.0298420813664689,0.386553653186674,
BRD:BRD-K86882815-001-03-2,CABERGOLINE,0.0922931503177192,0.0328173527528601,0.4001793674515432,
BRD:BRD-A67516570-001-02-8,LAFUTIDINE,0.0919582192313029,0.0306046951453415,0.3904844980861691,
BRD:BRD-K50720187-051-03-1,FLUPIRTINE,0.0919448675417781,0.0461126577258562,0.4737933258314056,
BRD:BRD-K86525559-001-07-8,AZD7762,0.091925238180425,0.0352294162277176,0.4165699081205445,
BRD:BRD-K79277568-003-04-7,METHOXYAMINE,0.0918961148290381,0.0352876882216862,0.4165699081205445,
BRD:BRD-A65051990-001-12-9,ACENOCOUMAROL,0.0917868250732825,0.0306147353561099,0.3904844980861691,
BRD:BRD-K28912512-001-23-2,NICOTINAMIDE,0.0917657248632726,0.0315728902535719,0.3921079244496863,
BRD:BRD-K00004569-001-01-9,ICI-169369,0.0914372060764608,0.008198471173297,0.1940253342506219,
BRD:BRD-K34581968-001-04-6,BMS-536924,0.091420249395709,0.0080957294926496,0.1925048820073616,
BRD:BRD-K00010386-001-01-9,RMC-4550,0.0913882930624324,0.0080423194848904,0.1925048820073616,
BRD:BRD-K42090719-001-06-5,TRICHLOROACETIC-ACID,0.0913578044440209,0.0363796358903377,0.422714861706577,
BRD:BRD-K68264559-045-04-0,BRIMONIDINE,0.0912307032034749,0.0348895741889426,0.4165422622897839,
BRD:BRD-K15337272-001-01-3,C-751,0.0911664247798532,0.031303610802828,0.3921079244496863,
BRD:BRD-K89208535-051-01-5,INDACATEROL,0.091146120264779,0.0318020845903921,0.3921079244496863,
BRD:BRD-K55216666-001-01-4,TCS-2314,0.091116528410032,0.0483581554647028,0.4856238296892781,
BRD:BRD-K88510285-001-11-1,BORTEZOMIB,0.0910024679912923,0.0320736385521082,0.3947251117928586,
BRD:BRD-K09757388-065-04-0,ATAZANAVIR,0.0909238097883852,0.0325369199923352,0.3982184068179558,
BRD:BRD-K58114536-001-01-6,RASAGILINE,0.0905408713677303,0.032487853681228,0.3982184068179558,
BRD:BRD-K07074923-001-01-5,RWJ-67657,0.0904344835112886,0.0498250260042215,0.4909623850901486,
BRD:BRD-K11773281-075-02-4,4SC-202,0.0899070835149542,0.0511788065776741,0.4962981611424074,
BRD:BRD-A86871940-001-01-9,NICARAVEN,0.0898999889115236,0.0381838234140595,0.4342273326515522,
BRD:BRD-K72420232-001-12-3,WZ-4002,0.0898410773252117,0.0351672236112407,0.4165699081205445,
BRD:BRD-K99149715-001-01-6.1,BRD:BRD-K99149715-001-01-6.1,0.0898059247657057,0.0344135154414195,0.4142104461284037,
BRD:BRD-K99149715-001-01-6,PLURISIN-#1,0.0898059247657057,0.0344135154414195,0.4142104461284037,
BRD:BRD-A94965935-001-01-6,CICLOPROFEN,0.0895842908043366,0.0094686136290148,0.2158521932169798,
BRD:BRD-K61567297-001-01-9,RESATORVID,0.0892521658326835,0.0350485491337533,0.4165422622897839,
BRD:BRD-A31800922-003-25-1,PROCYCLIDINE,0.0892508216785137,0.0390491237500807,0.4361922229258284,
BRD:BRD-K28639661-001-01-6,NGD-94-1,0.0891334102516116,0.0532201859704256,0.5038243085862114,
BRD:BRD-K54187111-001-09-2,DICHLORISONE-ACETATE,0.0891024930818322,0.0360238193531115,0.4222319677063327,
BRD:BRD-K21865955-003-01-5,NS-018,0.0890653290476706,0.0534030230336476,0.5038243085862114,
BRD:BRD-K52751261-001-06-1,TAK-715,0.0888094279864874,0.0368123131473825,0.4269971793297436,
BRD:BRD-K13302470-001-02-7,KY02111,0.0881838920387075,0.0372996408289011,0.4318974063283888,
BRD:BRD-A36010170-001-04-0,AMCINONIDE,0.0881597493465889,0.0382182662862435,0.4342273326515522,
BRD:BRD-K17849083-001-32-9,TRANILAST,0.0881371513656187,0.0415682268700633,0.4507512288287982,
BRD:BRD-K10843433-001-22-7,PHENYLBUTAZONE,0.0880573258383632,0.0417539446137006,0.4513077762860665,
BRD:BRD-K34157611-001-16-0,CIMETIDINE,0.0879050544414166,0.039677639489505,0.4371903998531009,
BRD:BRD-K00003421-001-01-9,GSK3326595,0.0877043563564971,0.011231006745731,0.2303739369760606,
BRD:BRD-K99383816-001-03-5,FTORAFUR,0.0875767067091374,0.0428869910741662,0.4555567004463688,
BRD:BRD-K71926323-001-13-8,MARBOFLOXACIN,0.0875406680245561,0.0392428869829635,0.4361922229258284,
BRD:BRD-K82767007-001-01-1,DAZOXIBEN,0.0874858960577859,0.0417551201850731,0.4513077762860665,
BRD:BRD-A45889380-300-07-1,MEPACRINE,0.0873209273340289,0.0421436662052864,0.4530657222300095,
BRD:BRD-K93441486-067-12-8,DIPHEMANIL,0.0871690722870484,0.0395506109764537,0.4371903998531009,
BRD:BRD-A44500574-001-01-8,FLI-06,0.0865008739852311,0.0418301365806647,0.4513858174296039,
BRD:BRD-K44825564-065-01-4,ZAPA,0.0862424947535669,0.0482642020294586,0.4854124729790569,
BRD:BRD-K45724504-001-01-6,ANGUIDINE,0.0862275263311824,0.0426715636514609,0.4545716332662836,
BRD:BRD-K07265709-003-05-6,DEXRAZOXANE,0.0861564349846201,0.0484891190098993,0.4862056541685388,
BRD:BRD-K41438959-001-01-7,PERAMPANEL,0.0860437748884877,0.0421800391406895,0.4530657222300095,
BRD:BRD-K00004724-001-01-9,FLURBIPROFEN-AXETIL,0.0860345908464829,0.0128834316719699,0.2458843060562664,
BRD:BRD-K53205568-001-02-6,AFALANINE,0.0859656884006954,0.0431177857797162,0.4557941169633505,
BRD:BRD-A50157456-065-20-6,TERBUTALINE,0.0859439198418998,0.0441287121679804,0.4619637824126004,
BRD:BRD-K00005338-001-01-9,VL285,0.0859102257021173,0.0130146913833452,0.2458843060562664,
BRD:BRD-K83354763-001-07-9,NFKB-ACTIVATION-INHIBITOR-II,0.0857254784726491,0.0130475889394238,0.2458843060562664,
BRD:BRD-K48062199-001-01-8,GSK2801,0.0856814769336844,0.0634538207773767,0.5347791629566763,
BRD:BRD-K60640630-001-11-0,MOMETASONE-FUROATE,0.0854242864373844,0.0444542225484088,0.4628546468729012,
BRD:BRD-K61452026-001-04-6,EMTRICITABINE,0.0853401760417863,0.0438979073639078,0.4602712869746434,
BRD:BRD-M92352362-002-02-3,TALC,0.0852334519492037,0.0509569932722636,0.4952870966521624,
BRD:BRD-K22936972-003-23-6,DIPHENYLPYRALINE,0.0850274778893038,0.0462455709614887,0.4740923565227927,
BRD:BRD-K92116564-001-01-4,ISOXEPAC,0.0849120607326763,0.0465436241846894,0.4740923565227927,
BRD:BRD-A71033472-003-23-9,FENDILINE,0.0848549742770367,0.0462925136163653,0.4740923565227927,
BRD:BRD-K97025174-001-01-4,CAPADENOSON,0.0845185991928151,0.0465689998747231,0.4740923565227927,
